estrutura,tamanho,repeticao,tempoNs
ArrayBinario,100000,21,254379
ArrayBinario,100000,22,562922
ArrayBinario,100000,23,306445
ArrayBinario,100000,24,194281
ArrayBinario,100000,25,180775
ArrayBinario,100000,26,169719
ArrayBinario,100000,27,157618
ArrayBinario,100000,28,275463
ArrayBinario,100000,29,190669
ListaEncadeada,100000,0,116598658
ListaEncadeada,100000,1,120144549
ListaEncadeada,100000,2,117694184
ListaEncadeada,100000,3,122421295
ListaEncadeada,100000,4,131715442
ListaEncadeada,100000,5,117862795
ListaEncadeada,100000,6,113686652
ListaEncadeada,100000,7,114843329
ListaEncadeada,100000,8,116321361
ListaEncadeada,100000,9,112241367
ListaEncadeada,100000,10,111065686
ListaEncadeada,100000,11,109981273
ListaEncadeada,100000,12,113620812
ListaEncadeada,100000,13,111171231
ListaEncadeada,100000,14,113921100
ListaEncadeada,100000,15,112168643
ListaEncadeada,100000,16,118319794
ListaEncadeada,100000,17,113334963
ListaEncadeada,100000,18,114424229
ListaEncadeada,100000,19,114417450
ListaEncadeada,100000,20,116463073
ListaEncadeada,100000,21,117150066
ListaEncadeada,100000,22,119687119
ListaEncadeada,100000,23,115178084
ListaEncadeada,100000,24,118308634
ListaEncadeada,100000,25,112522937
ListaEncadeada,100000,26,123226023
ListaEncadeada,100000,27,117891870
ListaEncadeada,100000,28,112998890
ListaEncadeada,100000,29,111817376
ArvoreBST,100000,0,195445
ArvoreBST,100000,1,211304
ArvoreBST,100000,2,194333
ArvoreBST,100000,3,193617
ArvoreBST,100000,4,199341
ArvoreBST,100000,5,297233
ArvoreBST,100000,6,192492
ArvoreBST,100000,7,204653
ArvoreBST,100000,8,201091
ArvoreBST,100000,9,433579
ArvoreBST,100000,10,261832
ArvoreBST,100000,11,209479
ArvoreBST,100000,12,199561
ArvoreBST,100000,13,196004
ArvoreBST,100000,14,220913
ArvoreBST,100000,15,230774
ArvoreBST,100000,16,231035
ArvoreBST,100000,17,228343
ArvoreBST,100000,18,228345
ArvoreBST,100000,19,201762
ArvoreBST,100000,20,209304
ArvoreBST,100000,21,228097
ArvoreBST,100000,22,214356
ArvoreBST,100000,23,215549
ArvoreBST,100000,24,420609
ArvoreBST,100000,25,270484
ArvoreBST,100000,26,244508
ArvoreBST,100000,27,259230
ArvoreBST,100000,28,265193
ArvoreBST,100000,29,395648
HashTable,100000,0,140533
HashTable,100000,1,169155
HashTable,100000,2,168309
HashTable,100000,3,80766
HashTable,100000,4,93680
HashTable,100000,5,96257
HashTable,100000,6,82191
HashTable,100000,7,76599
HashTable,100000,8,88556
HashTable,100000,9,81482
HashTable,100000,10,100396
HashTable,100000,11,90038
HashTable,100000,12,101969
HashTable,100000,13,90945
HashTable,100000,14,110425
HashTable,100000,15,100653
HashTable,100000,16,74103
HashTable,100000,17,79036
HashTable,100000,18,111038
HashTable,100000,19,111052
HashTable,100000,20,76408
HashTable,100000,21,75114
HashTable,100000,22,76716
HashTable,100000,23,82984
HashTable,100000,24,187728
HashTable,100000,25,133124
HashTable,100000,26,108289
HashTable,100000,27,122983
HashTable,100000,28,84943
HashTable,100000,29,89911
