estrutura,tamanho,repeticao,tempoInsercaoNs,tempoBuscaNs,memoriaBytes
ArvoreBST,500000,11,284387570,544323,12187136
ArvoreBST,500000,12,302643533,1034559,12143312
ArvoreBST,500000,13,327369588,524352,12181352
ArvoreBST,500000,14,273841172,480274,12136368
ArvoreBST,500000,15,294221738,604419,12173648
ArvoreBST,500000,16,307808971,778743,12093840
ArvoreBST,500000,17,300254313,761281,12099360
ArvoreBST,500000,18,310685704,595892,12180808
ArvoreBST,500000,19,292451062,478352,12093840
ArvoreBST,500000,20,340479679,511464,12093840
ArvoreBST,500000,21,305498073,555901,12217952
ArvoreBST,500000,22,351884440,522922,12185728
ArvoreBST,500000,23,329931871,491081,12113376
ArvoreBST,500000,24,300141971,579896,12187496
ArvoreBST,500000,25,281366643,721665,12159784
ArvoreBST,500000,26,292712880,568245,12197944
ArvoreBST,500000,27,333633980,759411,12191392
ArvoreBST,500000,28,302107832,566312,12187136
ArvoreBST,500000,29,299571932,543512,12176032
HashTable,500000,0,133700932,187333,29741200
HashTable,500000,1,125525656,177066,29683024
HashTable,500000,2,128488175,245447,29757168
HashTable,500000,3,118713938,198602,29740632
HashTable,500000,4,118231350,178453,29732176
HashTable,500000,5,137132992,180229,29727712
HashTable,500000,6,117785460,248379,29791456
HashTable,500000,7,117920846,181389,29792752
HashTable,500000,8,119681960,187161,29710512
HashTable,500000,9,132053030,383693,29742672
HashTable,500000,10,138990434,182608,29779456
HashTable,500000,11,153224263,195807,29788496
HashTable,500000,12,139700664,177765,29682960
HashTable,500000,13,119487274,315456,29779744
HashTable,500000,14,126639673,368112,29766496
HashTable,500000,15,126151810,187340,29801568
HashTable,500000,16,121515942,175466,29682960
HashTable,500000,17,119754929,173846,29729200
HashTable,500000,18,120037442,205612,29778512
HashTable,500000,19,119125314,178729,29738448
HashTable,500000,20,119651429,373050,29773104
HashTable,500000,21,114221876,186230,29797568
HashTable,500000,22,114707003,191337,29682960
HashTable,500000,23,121615356,230837,29779760
HashTable,500000,24,107306009,322173,29783728
HashTable,500000,25,122008820,181374,29770240
HashTable,500000,26,117760828,179218,29777552
HashTable,500000,27,113587351,178052,29779760
HashTable,500000,28,126103644,213538,29779744
HashTable,500000,29,122770750,224012,29743640
